OrderID,ProductID,UnitPrice,Quantity,Discount
10248,47,32.85,1,0.0
10248,39,107.46,39,0.1
10248,27,15.49,28,0.25
10249,48,28.3,21,0.0
10249,52,104.83,3,0.2
10249,73,84.89,10,0.25
10250,66,117.42,15,0.05
10251,59,14.59,35,0.2
10251,77,72.37,12,0.15
10251,11,52.47,35,0.05
10252,64,47.33,27,0.15
10252,37,79.75,11,0.0
10252,67,106.26,5,0.2
10252,61,107.37,34,0.25
10252,21,79.15,37,0.0
10253,74,32.54,27,0.0
10253,26,110.61,8,0.25
10253,66,117.42,33,0.25
10253,11,52.47,39,0.25
10253,1,52.08,1,0.2
10254,67,106.26,25,0.0
10254,52,104.83,32,0.1
10255,33,6.44,18,0.2
10255,2,88.95,5,0.05
10255,68,114.35,32,0.1
10256,77,72.37,34,0.1
10256,29,93.83,24,0.0
10256,44,4.04,24,0.25
10257,32,31.76,7,0.1
10257,52,104.83,20,0.0
10258,64,47.33,27,0.25
10259,56,112.08,28,0.0
10259,7,6.08,7,0.1
10260,9,39.18,30,0.25
10261,38,106.26,17,0.1
10261,43,44.88,35,0.1
10261,29,93.83,34,0.1
10261,49,16.19,2,0.0
10261,26,110.61,8,0.15
10262,39,107.46,17,0.2
10263,23,46.01,31,0.1
10263,76,77.31,33,0.1
10264,39,107.46,27,0.0
10265,25,102.77,40,0.0
10265,34,47.7,11,0.1
10265,53,91.15,40,0.15
10266,38,106.26,13,0.15
10266,24,22.74,3,0.25
10266,77,72.37,14,0.15
10267,43,44.88,4,0.05
10267,53,91.15,26,0.0
10268,30,33.41,35,0.15
10268,22,38.34,1,0.05
10268,31,38.95,9,0.2
10268,4,92.55,9,0.0
10268,5,16.93,10,0.2
10269,24,22.74,4,0.2
10269,37,79.75,26,0.05
10269,62,72.54,35,0.25
10269,32,31.76,29,0.25
10269,29,93.83,21,0.25
10270,68,114.35,12,0.15
10270,59,14.59,30,0.15
10270,71,101.11,40,0.1
10270,29,93.83,36,0.05
10271,23,46.01,36,0.15
10272,22,38.34,2,0.25
10272,26,110.61,17,0.05
10272,71,101.11,21,0.2
10272,30,33.41,19,0.2
10273,18,48.96,11,0.15
10273,31,38.95,21,0.0
10274,40,43.83,1,0.05
10274,67,106.26,22,0.2
10274,26,110.61,30,0.1
10275,13,52.5,20,0.05
10275,4,92.55,14,0.0
10275,61,107.37,11,0.1
10275,3,105.47,38,0.1
10275,47,32.85,38,0.15
10276,11,52.47,20,0.0
10276,17,102.38,29,0.2
10276,16,95.15,30,0.25
10276,7,6.08,34,0.15
10277,31,38.95,10,0.0
10278,16,95.15,11,0.15
10278,5,16.93,27,0.2
