OrderID,CustomerID,EmployeeID,OrderDate,ShipVia,Freight
10248,SMORH,2,1996-07-02,1,54.45
10249,MYVXC,2,1996-07-16,1,12.13
10250,VYHBU,9,1996-07-01,1,12.38
10251,GEEGS,6,1996-07-01,3,102.12
10252,KBWLG,2,1996-07-11,3,29.02
10253,LPVQG,3,1996-07-15,2,145.25
10254,PUQHW,5,1996-07-15,3,57.41
10255,TWGGZ,6,1996-07-24,1,229.8
10256,XKTZQ,9,1996-07-09,1,42.64
10257,FMMRL,4,1996-07-28,2,206.51
10258,WVGUX,7,1996-07-09,3,149.87
10259,KBWLG,1,1996-07-09,1,94.55
10260,XLAVG,5,1996-07-18,2,220.69
10261,UDJOJ,1,1996-07-15,3,200.59
10262,DTZKB,3,1996-07-07,3,82.28
10263,JVTVC,4,1996-07-14,2,189.55
10264,FGLEI,4,1996-07-14,1,88.9
10265,LPVQG,3,1996-07-28,1,83.77
10266,JCWVH,9,1996-07-13,3,109.41
10267,QEFYE,9,1996-07-24,1,114.14
10268,TINQA,6,1996-07-06,2,69.88
10269,ALFKI,7,1996-08-19,3,194.27
10270,SKSEF,9,1996-08-21,1,221.09
10271,VBYNW,6,1996-08-21,2,211.73
10272,TINQA,9,1996-08-03,1,138.64
10273,TCJVQ,4,1996-08-24,2,189.91
10274,JEYCD,9,1996-08-19,3,151.29
10275,RBMPA,7,1996-08-04,1,210.8
10276,OUKVF,3,1996-08-07,3,80.98
10277,VEYUQ,6,1996-08-23,3,141.85
10278,PLRKR,6,1996-08-27,1,156.33
10279,EDMNO,6,1996-08-03,2,96.58
10280,BOGAS,6,1996-08-18,1,52.3
10281,AROUT,1,1996-08-16,1,156.48
10282,GEEGS,3,1996-08-18,2,114.84
10283,TRYSX,7,1996-08-23,2,129.62
10284,YVQCH,9,1996-08-24,3,93.69
10285,WPBNO,5,1996-08-17,3,12.24
10286,RBMPA,5,1996-08-06,3,18.98
10287,ALFKI,1,1996-08-20,2,244.94
10288,FLETF,8,1996-08-01,1,137.54
10289,TRYSX,6,1996-09-27,1,247.88
10290,CKKWE,9,1996-09-20,3,169.52
10291,BNYBJ,1,1996-09-02,1,27.34
10292,PUQHW,3,1996-09-13,2,184.23
10293,SKSEF,4,1996-09-06,3,100.22
10294,LPREO,3,1996-09-16,2,105.11
10295,AKZQT,1,1996-09-14,1,176.6
10296,AKZQT,8,1996-09-21,2,247.95
10297,VTJBP,2,1996-09-05,3,240.74
10298,ALPBF,9,1996-09-03,3,138.85
10299,RBMPA,7,1996-09-24,2,152.5
10300,ALFKI,8,1996-09-20,2,15.16
10301,SDLSY,6,1996-09-14,2,67.61
10302,LPREO,7,1996-09-11,1,42.05
10303,XVNBZ,5,1996-09-26,3,104.32
10304,SGTEY,4,1996-09-22,2,106.65
10305,XVNBZ,4,1996-09-10,3,70.61
10306,QDSIQ,7,1996-09-26,2,189.41
10307,TCJVQ,9,1996-09-20,2,66.74
10308,SPPRI,3,1996-09-08,1,94.53
10309,NGCTP,5,1996-09-14,2,40.8
10310,CKKWE,5,1996-09-09,1,74.25
10311,IEOWD,2,1996-09-21,3,79.86
10312,FGLEI,9,1996-09-14,3,133.91
10313,YVQCH,1,1996-09-11,1,47.9
10314,RBMPA,3,1996-09-10,1,104.0
10315,CKKWE,2,1996-09-18,2,126.8
10316,KVIFE,4,1996-09-02,1,130.57
10317,OUKVF,5,1996-09-19,2,56.23
10318,BKURQ,4,1996-09-14,1,71.11
10319,POBYN,2,1996-09-04,1,31.28
10320,MAPTB,5,1996-09-22,1,8.86
10321,ALFKI,9,1996-10-05,2,230.85
10322,LPVQG,3,1996-10-26,2,166.43
10323,VLLAI,5,1996-10-22,3,161.15
10324,UQVLY,9,1996-10-09,2,15.27
10325,MNXAG,6,1996-10-18,2,138.95
10326,VYHBU,4,1996-10-05,1,215.94
10327,QEFYE,1,1996-10-18,2,38.36
10328,POBYN,4,1996-10-05,3,234.67
