ProductID,ProductName,SupplierID,CategoryID,UnitPrice,UnitsInStock,Discontinued
1,Chai,8,1,52.08,125,0
2,Chang Ale,15,1,88.95,28,0
3,Lager,22,1,105.47,119,0
4,Espresso Roast,29,1,92.55,15,0
5,Green Tea,7,1,16.93,3,0
6,Cider,14,1,22.0,85,0
7,Cola Classic,21,1,6.08,6,0
8,Sparkling Water,28,1,94.05,69,0
9,Herbal Infusion,6,1,39.18,87,0
10,Dark Stout,13,1,24.02,39,0
11,Aniseed Syrup,20,2,52.47,53,0
12,Cajun Seasoning,27,2,89.54,21,0
13,Gumbo Mix,5,2,52.5,26,0
14,Olive Oil,12,2,105.59,38,0
15,Soy Sauce,19,2,92.23,70,0
16,Curry Paste,26,2,95.15,92,0
17,Tomato Relish,4,2,102.38,51,0
18,Mustard,11,2,48.96,37,0
19,Hot Pepper Sauce,18,2,75.57,102,1
20,Marmalade,25,2,117.05,25,0
21,Chocolate Biscuits,3,3,79.15,109,0
22,Fudge Bar,10,3,38.34,89,0
23,Marzipan,17,3,46.01,44,0
24,Gummi Bears,24,3,22.74,37,0
25,Licorice,2,3,102.77,31,0
26,Sponge Cake,9,3,110.61,46,0
27,Scones,16,3,15.49,116,0
28,Nougat,23,3,104.38,106,0
29,Toffee Roll,1,3,93.83,100,0
30,Caramel Wafers,8,3,33.41,78,0
31,Gouda Wheel,15,4,38.95,102,0
32,Camembert,22,4,31.76,2,0
33,Mozzarella,29,4,6.44,52,0
34,Blue Cheese,7,4,47.7,44,0
35,Cheddar Block,14,4,47.29,117,0
36,Emmental,21,4,105.7,17,0
37,Brie,28,4,79.75,93,0
38,Feta,6,4,106.26,100,1
39,Parmesan,13,4,107.46,31,0
40,Gruyere,20,4,43.83,17,0
41,Rye Bread,27,5,106.55,26,0
42,Whole Wheat Pasta,5,5,49.93,106,0
43,Oat Cereal,12,5,44.88,112,0
44,Crackers,19,5,4.04,7,0
45,Wild Rice,26,5,90.19,123,0
46,Cornmeal,4,5,115.82,61,0
47,Muesli,11,5,32.85,80,0
48,Baguette,18,5,28.3,67,0
49,Rice Noodles,25,5,16.19,113,0
50,Barley Flakes,3,5,72.69,41,0
51,Smoked Sausage,10,6,41.53,90,0
52,Cured Ham,17,6,104.83,116,0
53,Chicken Breast,24,6,91.15,75,0
54,Beef Jerky,2,6,76.49,13,0
55,Pate,9,6,6.73,109,0
56,Salami,16,6,112.08,60,0
57,Turkey Roll,23,6,54.9,35,1
58,Pork Ribs,1,6,31.83,111,0
59,Duck Confit,8,6,14.59,36,0
60,Meatballs,15,6,71.49,99,0
61,Dried Apples,22,7,107.37,7,0
62,Bean Curd,29,7,72.54,9,0
63,Mixed Nuts,7,7,85.64,45,0
64,Dried Figs,14,7,47.33,20,0
65,Tofu Firm,21,7,67.59,74,0
66,Raisins,28,7,117.42,109,0
67,Sun-dried Tomatoes,6,7,106.26,78,0
68,Prunes,13,7,114.35,40,0
69,Dried Apricots,20,7,78.48,5,0
70,Cashews,27,7,50.15,40,0
71,Smoked Salmon,5,8,101.11,8,0
72,Dried Seaweed,12,8,83.44,47,0
73,Herring Fillets,19,8,84.89,46,0
74,Crab Meat,26,8,32.54,99,0
75,Shrimp,4,8,9.19,75,0
76,Tuna Steak,11,8,77.31,29,1
77,Cod Fillet,18,8,72.37,53,0
