SupplierID,CompanyName,ContactName,City,Country
1,Exotic Liquids,Charlotte Cooper,London,UK
2,New Orleans Cajun Delights,Shelley Nagase,New Orleans,USA
3,Grandma Kelly's Homestead,Regina Devling,Ann Arbor,USA
4,Tokyo Traders,Yoshi Diaz,Tokyo,Japan
5,Cooperativa de Quesos,Antonio Petersen,Oviedo,Spain
6,Mayumi's,Mayumi Saveley,Osaka,Japan
7,Pavlova Ltd.,Ian Bein,Melbourne,Australia
8,Specialty Biscuits,Peter Luchini,Manchester,UK
9,PB Knaeckebroed AB,Lars Fresnel,Goeteborg,Sweden
10,Refrescos Americanas,Carlos Nolot,Sao Paulo,Brazil
11,Heli Suesswaren GmbH,Petra Keller,Berlin,Germany
12,Plutzer Lebensmittel,Martin Schulz,Frankfurt,Germany
13,Nord-Ost Fisch,Sven Murphy,Cuxhaven,Germany
14,Formaggi Fortini,Elio Ohno,Ravenna,Italy
15,Norske Meierier,Beate Peterson,Sandvika,Norway
16,Bigfoot Breweries,Cheryl Bein,Bend,USA
17,Svensk Sjoefoeda AB,Michael Vileid,Stockholm,Sweden
18,Aux Joyeux Ecclesiastiques,Guylene Nodier,Paris,France
19,New England Seafood,Robb Petersen,Boston,USA
20,Leka Trading,Chandra Mendoza,Singapore,Singapore
21,Lyngbysild,Niels Bertrand,Lyngby,Denmark
22,Zaanse Snoepfabriek,Dirk Brandt,Zaandam,Netherlands
23,Karkki Oy,Anne Weber,Lappeenranta,Finland
24,G'day Trading,Wendy Burke,Sydney,Australia
25,Ma Maison,Jean del Valle,Montreal,Canada
26,Pasta Buttini srl,Giovanni Wilson,Salerno,Italy
27,Escargots Nouveaux,Marie Winkler,Montceau,France
28,Gai Paturage,Eliane Rossi,Annecy,France
29,Forets d'erables,Chantal Merchant,Ste-Hyacinthe,Canada
