MachineName,OperatingSystem,LastContact
SRV-01,Windows Server 2016,2026-07-07T16:31Z
SRV-02,Windows Server 2019,2026-07-07T06:14Z
SRV-03,Windows Server 2022,2026-07-07T22:06Z
SRV-04,Windows Server 2022,2026-07-06T09:58Z
WS-01,Windows 10 Pro,2026-07-07T21:32Z
WS-02,Windows 10 Pro,2026-07-07T09:01Z
WS-03,Windows 10 Pro,2026-07-07T17:35Z
WS-04,Windows 10 Pro,2026-07-06T11:15Z
WS-05,Windows 10 Pro,2026-07-06T14:55Z
WS-06,Windows 10 Pro,2026-07-07T15:24Z
WS-07,Windows 10 Pro,2026-07-06T16:12Z
WS-08,Windows 10 Pro,2026-07-07T21:48Z
WS-09,Windows 10 Pro,2026-07-07T09:19Z
WS-10,Windows 10 Pro,2026-07-07T15:40Z
WS-11,Windows 10 Pro,2026-07-07T22:31Z
WS-12,Windows 10 Pro,2026-07-07T16:14Z
WS-13,Windows 10 Pro,2026-07-07T10:37Z
WS-14,Windows 11 Pro,2026-07-06T11:28Z
WS-15,Windows 11 Pro,2026-07-06T11:19Z
WS-16,Windows 11 Pro,2026-07-07T22:06Z
WS-17,Windows 11 Pro,2026-07-07T22:25Z
WS-18,Windows 11 Pro,2026-07-06T11:03Z
WS-19,Windows 11 Pro,2026-07-06T11:03Z
WS-20,Windows 11 Pro,2026-07-07T17:09Z
WS-21,Windows 11 Pro,2026-07-07T16:59Z
WS-22,Windows 11 Pro,2026-07-07T22:46Z
WS-23,Windows 11 Pro,2026-07-06T17:55Z
WS-24,Windows 11 Pro,2026-07-07T06:19Z
WS-25,Windows 11 Pro,2026-07-07T10:37Z
WS-26,Windows 11 Pro,2026-07-07T08:12Z
WS-27,Windows 11 Pro,2026-07-07T08:42Z
WS-28,Windows 11 Pro,2026-07-07T11:20Z
WS-29,Windows 11 Pro,2026-07-07T18:24Z
WS-30,Windows 11 Pro,2026-07-07T13:20Z
WS-31,Windows 11 Pro,2026-07-07T07:00Z
WS-32,Windows 11 Pro,2026-07-07T10:34Z
WS-33,Windows 11 Pro,2026-07-07T16:40Z
WS-34,Windows 11 Pro,2026-07-06T06:51Z
WS-35,Windows 11 Pro,2026-07-06T09:20Z
WS-36,Windows 11 Pro,2026-07-06T20:09Z
WS-37,Windows 11 Pro,2026-07-06T14:39Z
WS-38,Windows 11 Pro,2026-07-06T11:58Z
WS-39,Windows 11 Pro,2026-07-06T17:34Z
WS-40,Windows 11 Pro,2026-07-06T15:05Z
